店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
【国産牛×新鮮ホルモン】 炊き肉屋 しじみ倶楽部 名駅店,050-5485-4585,愛知県,名古屋市中村区椿町,22-5,,https://ncch600.gorp.jp/,True
福キタル。 名駅四丁目店,050-5485-3386,愛知県,名古屋市中村区名駅四丁目,18-15,,https://ncch200.gorp.jp/,True
炭良 ホルモン,050-5492-9772,東京都,江東区住吉二丁目,3-7,1F,https://gjum500.gorp.jp/,True
星降る夜空ビアガーデン BBQ食べ放題 スカイテラス 上野店,050-5493-8018,東京都,台東区上野六丁目,13-7,3F,https://ghjr002.gorp.jp/,True
スタミナビアガーデン上野,050-5493-2111,東京都,台東区上野四丁目,2-5,屋上,https://gf3y405.gorp.jp/,True
おでんと焼き魚 あおちょ ほぼ 新宿店,050-5494-8426,東京都,渋谷区千駄ケ谷五丁目,20-10,1F,https://gj51704.gorp.jp/,True
ビアテラス,018-827-3828,秋田県,秋田市中通二丁目,6-1,ANAクラウンプラザホテル秋田6F,https://ta7v303.gorp.jp/,True
居酒屋革命 酔っ手羽 天神西通り店,050-5492-7626,福岡県,福岡市中央区今泉一丁目,19-21,,https://fc58800.gorp.jp/,True
【昼飲み】Aviary Tokyo 新宿BBQビアガーデン,050-5493-6106,東京都,新宿区新宿三丁目,6-13,石井ビル5F,https://ghe8025.gorp.jp/,True
和牛焼肉 えん 新安城本店,050-5484-4780,愛知県,安城市今本町四丁目,2-2,,https://nbwu704.gorp.jp/,True
藁焼き×海鮮食堂 ふく万,06-7638-0088,兵庫県,尼崎市塚口本町一丁目,6-1,サンキュービルパート2 1F,https://keka600.gorp.jp/,True
完全個室居酒屋 和禅 新宿西口店,050-5488-8119,東京都,新宿区西新宿一丁目,4-15,高松ビル,https://gg8s413.gorp.jp/,True
Dining&Party MANUQA(マヌーカ),050-5485-9077,福岡県,久留米市東町,33-5,第3二又ビル B1F,https://party-wedding.gnavi.co.jp/site/2/fb8e000/,True
全席個室 じぶんどき 千葉駅前店,050-2018-8947,千葉県,千葉市中央区富士見二丁目,4-15,第一東和ビル3F,https://wedding.gnavi.co.jp/site/4/gjkj800/,True
鶏闘士 新宿南口店,050-5489-6080,東京都,渋谷区代々木二丁目,7-2,1F,https://gjf3500.gorp.jp/,True
シーズンカフェ ANAクラウンプラザホテル新潟,050-5487-8878,新潟県,新潟市中央区万代五丁目,11-20,ANAクラウンプラザホテル新潟1F,https://r624107.gorp.jp/,True
個室居酒屋 道楽ゑもん -どうらえもん-広島八丁堀店,050-5486-2389,広島県,広島市中区堀川町,4-17,小松屋ビル6F,https://ya5u800.gorp.jp/,True
完全個室居酒屋 九州蔵 大宮店,050-5494-5206,埼玉県,さいたま市大宮区大門町一丁目,1,ミナトビルB1,https://gcd1144.gorp.jp/,True
くつろぎの和食個室居酒屋 響き‐HIBIKI‐ 恵比寿本店,050-5484-8874,東京都,渋谷区恵比寿西一丁目,7-3,グルマンビル4F,https://hibiki-ebisu.gorp.jp/,True
せいろ蒸しと創作和牛 個室 隠居亭 新宿西口本店,050-5493-7185,東京都,新宿区西新宿一丁目,15-2,第五オムニクスビル1F,https://ggvv505.gorp.jp/,True
全席個室ダイニング 忍家 赤羽駅前店,050-5484-5634,東京都,北区赤羽一丁目,16-2,TN-1st 6F,https://shinobuya-akabane.gorp.jp/,True
五歩先、右入ル,050-5489-5997,岡山県,岡山市北区本町,4-3,あらたビル1F,https://y193723.gorp.jp/,True
炉端と酒 炉虎 浜松町店,050-5484-5105,東京都,港区浜松町一丁目,28-13,ムーンストリート大門4F,https://takezou-hamamatutyou.gorp.jp/,True
旨い焼き鳥と完全個室居酒屋 串ごろ 立川店,050-5489-5169,東京都,立川市曙町二丁目,7-20,8F,https://gcd1142.gorp.jp/,True
夜景個室 最大180品食べ飲み放題 美食満天 難波店,050-5492-3076,大阪府,大阪市中央区千日前一丁目,3-10,アソルティなんば3F,https://kdvv507.gorp.jp/,True
おでんtoさかな ますだ上野店,050-5485-8492,東京都,台東区東上野四丁目,12-1,K.Tビル1F,https://ggf9216.gorp.jp/,True
シュラスコ&ビアレストラン ALEGRIA 溝の口,044-543-8663,神奈川県,川崎市高津区溝口一丁目,11-8,OKKA634ビル7F,https://gfhp724.gorp.jp/,True
シュラスコ&ビアレストラン ALEGRIA tachikawa アレグリア立川,050-5488-7162,東京都,立川市柴崎町三丁目,1-7,南口第2ビル3F,https://gfhp707.gorp.jp/,True
個室居酒屋 肉と日本酒 いぶり 神田店,050-5486-5875,東京都,千代田区内神田三丁目,12-10,神田西口NSビル6F,https://gb3m508.gorp.jp/,True
本格シュラスコ&グリル食べ放題 ミートハウス 上野店,050-5488-1002,東京都,台東区上野二丁目,3-1,ジップビル1F,https://gdan515.gorp.jp/,True
全席個室居酒屋 炭火焼き鳥と肉寿司食べ放題 漁浜 新橋本店,050-5488-5876,東京都,港区新橋三丁目,8-5,ル・グランシエルビルディング13 4F,https://ggxe800.gorp.jp/,True
横浜中華街 皇朝レストラン,050-5484-9830,神奈川県,横浜市中区山下町,138-24,,https://gurusuguri.com/shop/ko-cho/,True
完全個室居酒屋 伊達なおもてなし DUCCA 仙台駅前店,050-5485-3955,宮城県,仙台市青葉区中央三丁目,6-10,フージャース仙台駅前ビル3F,https://ducca.gorp.jp/,True
個室和食居酒屋 なかの家 あべのハルカス店,050-5485-2320,大阪府,大阪市阿倍野区阿倍野筋一丁目,1-43,あべのハルカス近鉄本店タワー館13F,https://nakanoya-harukas.gorp.jp/,True
ごちそう個室居酒屋 たまて箱 船橋駅前店,050-5488-6317,千葉県,船橋市本町四丁目,5-26,船福ビル 4F,https://gddw503.gorp.jp/,True
全席個室完備 博多串焼きなど和食居酒屋 食彩の房 秋葉原店,050-5487-2939,東京都,千代田区神田佐久間町一丁目,15,7F,https://gh8e413.gorp.jp/,True
四川料理 秋 神保町本店,050-5489-2083,東京都,千代田区神田神保町一丁目,37-3,B1,https://gj8y400.gorp.jp/,True
居酒屋 酒坊 成きん,050-5487-8529,千葉県,船橋市西船四丁目,21-6,,https://gdmt701.gorp.jp/,True
完全個室×海鮮和食 新鮮組,050-5485-7345,三重県,四日市市諏訪栄町,6-20,,https://nc5n700.gorp.jp/,True
全席個室 じぶんどき博多筑紫口店,050-2018-8789,福岡県,福岡市博多区博多駅中央街,6-3,博多中央街ビル8F,https://wedding.gnavi.co.jp/site/4/f030218/,True
宝堂 ~KARASUMA~,050-5486-9759,京都府,京都市下京区四条町,369-4,,,False
活イカともつ鍋 芋 中洲店,050-5486-8609,福岡県,福岡市博多区中洲四丁目,2-5,,https://fbe2900.gorp.jp/,True
個室 和食 和楽 北新地店,050-5488-3569,大阪府,大阪市北区曾根崎新地一丁目,5-23,吉紹ビル4F,https://ke4h903.gorp.jp/,True
旬鮮魚と国産地鶏 全席個室 地鶏の里 鶏極-とりき- 新橋店,050-5485-2060,東京都,港区新橋三丁目,16-3,7F,https://gdgc203.gorp.jp/,True
本格香港点心と個室空間 CHINA DOLL 新宿アイランドタワー店,050-5484-5428,東京都,新宿区西新宿六丁目,5-1,新宿アイランドタワーパティオB1,https://chinadoll63045725.gorp.jp/,True
仙台牛タンと旨とろ馬刺し 個室居酒屋 万福 東京駅八重洲店,050-5493-3243,東京都,中央区八重洲一丁目,3-18,HP-SQUARE YAESU7~8F,https://gejr321.gorp.jp/,True
大衆酒場 北新地Neoタイガー,050-5493-3043,大阪府,大阪市北区曾根崎新地一丁目,11-7,,https://kemt500.gorp.jp/,True
完全個室完備 本格和食居酒屋 龍の屋 秋葉原店,050-5486-9596,東京都,千代田区神田佐久間町一丁目,15,7F,https://gh8e412.gorp.jp/,True
個室居酒屋 和ノ音わのね 海浜幕張店,050-5485-0648,千葉県,千葉市美浜区ひび野一丁目,14,aune幕張2F,https://e295855.gorp.jp/,True
完全個室 九州料理と海鮮 博多丸 名古屋駅店,050-5486-5949,愛知県,名古屋市中村区名駅三丁目,26-6,Third KHビル,https://n169675.gorp.jp/,True
