店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
Darts UP 新宿歌舞伎町3号店,050-5489-3181,東京都,新宿区歌舞伎町一丁目,15-4,5F,https://gcnu170.gorp.jp/,True
ミートビストロ 三軒茶屋店,050-5492-5140,東京都,世田谷区三軒茶屋二丁目,13-19,,https://ge3h452.gorp.jp/,True
うなとり酒場,050-5485-3926,東京都,千代田区神田三崎町二丁目,8-10,,https://gh2x918.gorp.jp/,True
金家 調布店,050-5489-3120,東京都,調布市布田一丁目,26-12,ダイアパレス調布1F,https://gjv8600.gorp.jp/,True
焼肉 ENJU ROPPONGI,050-5486-6915,東京都,港区六本木六丁目,2-35,六本木662ビル8F,https://gjv6200.gorp.jp/,True
Darts UP 町田,050-5488-4816,東京都,町田市原町田六丁目,9-7,2F,https://gcnu171.gorp.jp/,True
炉端とおでん 呼炉凪来(ころなぎらい)青森駅前店,03-4446-5389,青森県,青森市新町一丁目,8-10,青森東映プラザ2F,https://ta9y200.gorp.jp/,True
酒と和みと肉と魚,050-5484-9216,東京都,江東区亀戸二丁目,20-7,亀戸会館6F,https://gjpp602.gorp.jp/,True
鳥匠 光ノ鳥,050-5493-5466,大阪府,大阪市北区曾根崎二丁目,10-26,ステージビル1 1F,https://kess300.gorp.jp/,True
笑う門には肉来る,03-6273-8936,東京都,新宿区若松町,34-5,坂口若松町ビル1F,https://gjg2201.gorp.jp/,True
神の羊 赤羽店,050-5485-6604,東京都,北区赤羽一丁目,22-4,1F,https://gjv5200.gorp.jp/,True
氣分上兆,03-6233-8296,東京都,新宿区大久保二丁目,6-10,新宿第二アルプスマンション1F,https://ghgh401.gorp.jp/,True
わらやき屋 横浜鶴屋町,050-5492-3058,神奈川県,横浜市神奈川区鶴屋町二丁目,16-10,エフテムRONビル4F,https://g887435.gorp.jp/,True
創作割烹おあそび,050-5492-5050,東京都,杉並区高円寺北三丁目,9-11,松本ビル1F,https://gjv3600.gorp.jp/,True
全席個室 じぶんどき 横浜店,050-2018-8878,神奈川県,横浜市西区南幸二丁目,17-1,相鉄南幸第7ビルB1,https://wedding.gnavi.co.jp/site/4/e209426/,True
焼き鳥と地鶏料理 完全個室居酒屋 鶏一門 新橋総本店,050-5487-2841,東京都,港区新橋三丁目,21-9,2F,https://gb2c704.gorp.jp/,True
鮮魚と土鍋と個室 鶴屋 川崎駅前店,050-5492-1271,神奈川県,川崎市川崎区砂子二丁目,2-9,第一園ビル 2F,https://ghfy101.gorp.jp/,True
SHIN-OSAKA  KIRAKU楽-gaku-,050-5494-4762,大阪府,大阪市淀川区西中島七丁目,4-20,アパホテル<新大阪駅タワー>32F,https://party-wedding.gnavi.co.jp/site/2/kan2005/,True
完全個室居酒屋 炭火串焼きと鮮魚 しのぶ 神田店,050-5494-7681,東京都,千代田区鍛冶町二丁目,9-3,神田鍛冶町駅前ビル1F,https://gg6r005.gorp.jp/,True
つどい 日比谷,050-5493-8790,東京都,千代田区有楽町二丁目,3-2,SIL有楽町ビル9F,https://gfm4704.gorp.jp/,True
